# see details in the README file of the repository
day_zero	day	experiment	replicate_system	variable	value
2020-10-26	0	F0_50	a	Bs	10000
2020-10-26	0	F3_50	a	Bs	10000
2020-10-26	0	F3_50	a	F	1000
2020-10-26	0	F5_50	a	Bs	100000
2020-10-26	0	F5_50	a	F	100000
2020-10-26	0	F0_50	b	Bs	10000
2020-10-26	0	F3_50	b	Bs	10000
2020-10-26	0	F3_50	b	F	1000
2020-10-26	0	F5_50	b	Bs	100000
2020-10-26	0	F5_50	b	F	100000
2020-10-26	1	F0_50	a	Bs	20400000
2020-10-26	1	F0_50	b	Bs	16300000
2020-10-26	1	F3_50	a	Bs	22300000
2020-10-26	1	F3_50	b	Bs	20100000
2020-10-26	1	F3_50	a	F	2500
2020-10-26	1	F3_50	b	F	2500
2020-10-26	1	F5_50	a	Bs	402000
2020-10-26	1	F5_50	b	Bs	429000
2020-10-26	1	F5_50	a	F	120000
2020-10-26	1	F5_50	b	F	128750
2020-10-26	2	F0_50	a	Bs	35900000
2020-10-26	2	F0_50	b	Bs	36200000
2020-10-26	2	F3_50	a	Bs	25700000
2020-10-26	2	F3_50	b	Bs	31000000
2020-10-26	2	F3_50	a	F	3750
2020-10-26	2	F3_50	b	F	2500
2020-10-26	2	F5_50	a	Bs	620000
2020-10-26	2	F5_50	b	Bs	457000
2020-10-26	2	F5_50	a	F	126250
2020-10-26	2	F5_50	b	F	125000
2020-10-26	3	F0_50	a	Bs	28700000
2020-10-26	3	F0_50	b	Bs	29800000
2020-10-26	3	F3_50	a	Bs	24000000
2020-10-26	3	F3_50	b	Bs	20200000
2020-10-26	3	F3_50	a	F	3750
2020-10-26	3	F3_50	b	F	5000
2020-10-26	3	F5_50	a	Bs	246000
2020-10-26	3	F5_50	b	Bs	236000
2020-10-26	3	F5_50	a	F	112500
2020-10-26	3	F5_50	b	F	108750
2020-10-26	4	F0_50	a	Bs	39100000
2020-10-26	4	F0_50	b	Bs	36400000
2020-10-26	4	F3_50	a	Bs	17000000
2020-10-26	4	F3_50	b	Bs	14300000
2020-10-26	4	F3_50	a	F	7500
2020-10-26	4	F3_50	b	F	6250
2020-10-26	4	F5_50	a	Bs	338000
2020-10-26	4	F5_50	b	Bs	599000
2020-10-26	4	F5_50	a	F	88750
2020-10-26	4	F5_50	b	F	96250
2020-10-26	5	F0_50	a	Bs	41300000
2020-10-26	5	F0_50	b	Bs	34800000
2020-10-26	5	F3_50	a	Bs	10700000
2020-10-26	5	F3_50	b	Bs	3390000
2020-10-26	5	F3_50	a	F	22500
2020-10-26	5	F3_50	b	F	41250
2020-10-26	5	F5_50	a	Bs	495000
2020-10-26	5	F5_50	b	Bs	402000
2020-10-26	5	F5_50	a	F	115000
2020-10-26	5	F5_50	b	F	127500
2020-10-26	6	F0_50	a	Bs	44500000
2020-10-26	6	F0_50	b	Bs	39600000
2020-10-26	6	F3_50	a	Bs	2450000
2020-10-26	6	F3_50	b	Bs	2000000
2020-10-26	6	F3_50	a	F	60000
2020-10-26	6	F3_50	b	F	67500
2020-10-26	6	F5_50	a	Bs	741000
2020-10-26	6	F5_50	b	Bs	561000
2020-10-26	6	F5_50	a	F	106250
2020-10-26	6	F5_50	b	F	123750
2020-10-26	7	F0_50	a	Bs	43200000
2020-10-26	7	F0_50	b	Bs	48900000
2020-10-26	7	F3_50	a	Bs	1600000
2020-10-26	7	F3_50	b	Bs	1700000
2020-10-26	7	F3_50	a	F	78750
2020-10-26	7	F3_50	b	F	80000
2020-10-26	7	F5_50	a	Bs	932000
2020-10-26	7	F5_50	b	Bs	890000
2020-10-26	7	F5_50	a	F	78750
2020-10-26	7	F5_50	b	F	83750
2020-10-26	8	F0_50	a	Bs	39300000
2020-10-26	8	F0_50	b	Bs	42000000
2020-10-26	8	F3_50	a	Bs	852000
2020-10-26	8	F3_50	b	Bs	1150000
2020-10-26	8	F3_50	a	F	95000
2020-10-26	8	F3_50	b	F	77500
2020-10-26	8	F5_50	a	Bs	1050000
2020-10-26	8	F5_50	b	Bs	388000
2020-10-26	8	F5_50	a	F	83750
2020-10-26	8	F5_50	b	F	102500
2020-10-26	9	F0_50	a	Bs	42300000
2020-10-26	9	F0_50	b	Bs	38700000
2020-10-26	9	F3_50	a	Bs	5080000
2020-10-26	9	F3_50	b	Bs	9230000
2020-10-26	9	F3_50	a	F	50000
2020-10-26	9	F3_50	b	F	42500
2020-10-26	9	F5_50	a	Bs	3510000
2020-10-26	9	F5_50	b	Bs	1420000
2020-10-26	9	F5_50	a	F	63750
2020-10-26	9	F5_50	b	F	76250
2020-10-26	10	F0_50	a	Bs	56800000
2020-10-26	10	F0_50	b	Bs	49200000
2020-10-26	10	F3_50	a	Bs	15300000
2020-10-26	10	F3_50	b	Bs	12200000
2020-10-26	10	F3_50	a	F	23750
2020-10-26	10	F3_50	b	F	15000
2020-10-26	10	F5_50	a	Bs	8620000
2020-10-26	10	F5_50	b	Bs	8990000
2020-10-26	10	F5_50	a	F	41250
2020-10-26	10	F5_50	b	F	43750
2020-10-26	11	F0_50	a	Bs	41400000
2020-10-26	11	F0_50	b	Bs	42900000
2020-10-26	11	F3_50	a	Bs	72600000
2020-10-26	11	F3_50	b	Bs	65800000
2020-10-26	11	F3_50	a	F	7500
2020-10-26	11	F3_50	b	F	2500
2020-10-26	11	F5_50	a	Bs	50800000
2020-10-26	11	F5_50	b	Bs	41000000
2020-10-26	11	F5_50	a	F	20000
2020-10-26	11	F5_50	b	F	16250
2020-10-26	12	F0_50	a	Bs	49200000
2020-10-26	12	F0_50	b	Bs	42500000
2020-10-26	12	F3_50	a	Bs	91300000
2020-10-26	12	F3_50	b	Bs	78800000
2020-10-26	12	F3_50	a	F	5000
2020-10-26	12	F3_50	b	F	2500
2020-10-26	12	F5_50	a	Bs	72500000
2020-10-26	12	F5_50	b	Bs	97700000
2020-10-26	12	F5_50	a	F	7500
2020-10-26	12	F5_50	b	F	6250
2020-10-26	13	F0_50	a	Bs	42100000
2020-10-26	13	F0_50	b	Bs	39600000
2020-10-26	13	F3_50	a	Bs	64700000
2020-10-26	13	F3_50	b	Bs	74300000
2020-10-26	13	F3_50	a	F	1250
2020-10-26	13	F3_50	b	F	2500
2020-10-26	13	F5_50	a	Bs	76900000
2020-10-26	13	F5_50	b	Bs	83000000
2020-10-26	13	F5_50	a	F	2500
2020-10-26	13	F5_50	b	F	2500
2020-10-26	14	F0_50	a	Bs	48800000
2020-10-26	14	F0_50	b	Bs	43400000
2020-10-26	14	F3_50	a	Bs	91700000
2020-10-26	14	F3_50	b	Bs	74400000
2020-10-26	14	F3_50	a	F	1250
2020-10-26	14	F3_50	b	F	2500
2020-10-26	14	F5_50	a	Bs	76600000
2020-10-26	14	F5_50	b	Bs	75100000
2020-10-26	14	F5_50	a	F	1250
2020-10-26	14	F5_50	b	F	1250
2020-10-26	15	F0_50	a	Bs	49500000
2020-10-26	15	F0_50	b	Bs	41100000
2020-10-26	15	F3_50	a	Bs	77300000
2020-10-26	15	F3_50	b	Bs	75000000
2020-10-26	15	F3_50	a	F	3750
2020-10-26	15	F3_50	b	F	3750
2020-10-26	15	F5_50	a	Bs	81000000
2020-10-26	15	F5_50	b	Bs	74800000
2020-10-26	15	F5_50	a	F	2500
2020-10-26	15	F5_50	b	F	1250
2020-10-26	16	F0_50	a	Bs	38900000
2020-10-26	16	F0_50	b	Bs	38000000
2020-10-26	16	F3_50	a	Bs	72600000
2020-10-26	16	F3_50	b	Bs	73000000
2020-10-26	16	F3_50	a	F	3750
2020-10-26	16	F3_50	b	F	3750
